epoch: 4340, e_loss: 431.69, d_loss: 24.64
epoch: 4350, e_loss: 419.84, d_loss: 24.64
epoch: 4360, e_loss: 429.23, d_loss: 24.64
epoch: 4370, e_loss: 456.57, d_loss: 24.64
epoch: 4380, e_loss: 467.40, d_loss: 24.64
epoch: 4390, e_loss: 457.28, d_loss: 24.65
epoch: 4400, e_loss: 448.99, d_loss: 24.65
epoch: 4410, e_loss: 457.42, d_loss: 24.65
epoch: 4420, e_loss: 444.88, d_loss: 24.65
epoch: 4430, e_loss: 449.57, d_loss: 24.65
epoch: 4440, e_loss: 408.90, d_loss: 24.65
epoch: 4450, e_loss: 423.20, d_loss: 24.65
epoch: 4460, e_loss: 427.47, d_loss: 24.65
epoch: 4470, e_loss: 432.72, d_loss: 24.65
epoch: 4480, e_loss: 417.00, d_loss: 24.65
epoch: 4490, e_loss: 392.01, d_loss: 24.65
epoch: 4500, e_loss: 415.62, d_loss: 24.65
epoch: 4510, e_loss: 466.08, d_loss: 24.65
epoch: 4520, e_loss: 435.11, d_loss: 24.66
epoch: 4530, e_loss: 434.02, d_loss: 24.66
epoch: 4540, e_loss: 426.32, d_loss: 24.66
epoch: 4550, e_loss: 424.84, d_loss: 24.66
epoch: 4560, e_loss: 412.16, d_loss: 24.66
epoch: 4570, e_loss: 430.20, d_loss: 24.66
epoch: 4580, e_loss: 446.19, d_loss: 24.66
epoch: 4590, e_loss: 413.42, d_loss: 24.66
epoch: 4600, e_loss: 423.17, d_loss: 24.66
epoch: 4610, e_loss: 453.48, d_loss: 24.66
epoch: 4620, e_loss: 434.21, d_loss: 24.66
epoch: 4630, e_loss: 418.28, d_loss: 24.67
epoch: 4640, e_loss: 437.21, d_loss: 24.67
epoch: 4650, e_loss: 404.66, d_loss: 24.67
epoch: 4660, e_loss: 408.55, d_loss: 24.67
epoch: 4670, e_loss: 427.93, d_loss: 24.67
epoch: 4680, e_loss: 414.72, d_loss: 24.67
epoch: 4690, e_loss: 440.81, d_loss: 24.67
epoch: 4700, e_loss: 429.29, d_loss: 24.67
epoch: 4710, e_loss: 435.71, d_loss: 24.67
epoch: 4720, e_loss: 427.40, d_loss: 24.67
epoch: 4730, e_loss: 406.64, d_loss: 24.67
